
                            < M A T L A B (R) >
                  Copyright 1984-2008 The MathWorks, Inc.
                         Version 7.6.0.324 (R2008a)
                             February 10, 2008

 
  To get started, type one of these: helpwin, helpdesk, or demo.
  For product information, visit www.mathworks.com.
 
  f108 in 20-D, instance 14: FEs=200004, fbest-ftarget=1.0821e+02, elapsed time [h]: 3.04
  f108 in 20-D, instance 15: FEs=200003, fbest-ftarget=1.0147e+02, elapsed time [h]: 3.13
      date and time: 2010    3   19   23   16   38
  f109 in 20-D, instance 1: FEs=2454, fbest-ftarget=-3.7610e-10, elapsed time [h]: 3.13
  f109 in 20-D, instance 2: FEs=2862, fbest-ftarget=-8.1400e-11, elapsed time [h]: 3.13
  f109 in 20-D, instance 3: FEs=3191, fbest-ftarget=-1.3259e-10, elapsed time [h]: 3.14
  f109 in 20-D, instance 4: FEs=3250, fbest-ftarget=-7.1992e-11, elapsed time [h]: 3.14
  f109 in 20-D, instance 5: FEs=2804, fbest-ftarget=-1.5974e-10, elapsed time [h]: 3.14
  f109 in 20-D, instance 6: FEs=2807, fbest-ftarget=-5.6701e-10, elapsed time [h]: 3.14
  f109 in 20-D, instance 7: FEs=2919, fbest-ftarget=-2.8615e-10, elapsed time [h]: 3.14
  f109 in 20-D, instance 8: FEs=2537, fbest-ftarget=-4.7937e-10, elapsed time [h]: 3.14
  f109 in 20-D, instance 9: FEs=2460, fbest-ftarget=-6.3096e-11, elapsed time [h]: 3.14
  f109 in 20-D, instance 10: FEs=2699, fbest-ftarget=-7.7283e-10, elapsed time [h]: 3.15
  f109 in 20-D, instance 11: FEs=2617, fbest-ftarget=-6.7809e-10, elapsed time [h]: 3.15
  f109 in 20-D, instance 12: FEs=2582, fbest-ftarget=-6.2505e-10, elapsed time [h]: 3.15
  f109 in 20-D, instance 13: FEs=2760, fbest-ftarget=-8.7061e-10, elapsed time [h]: 3.15
  f109 in 20-D, instance 14: FEs=2496, fbest-ftarget=-5.7618e-11, elapsed time [h]: 3.15
  f109 in 20-D, instance 15: FEs=2744, fbest-ftarget=-1.0348e-09, elapsed time [h]: 3.15
      date and time: 2010    3   19   23   17   54
  f110 in 20-D, instance 1: FEs=200004, fbest-ftarget=4.5510e+04, elapsed time [h]: 3.24
  f110 in 20-D, instance 2: FEs=200002, fbest-ftarget=5.4894e+04, elapsed time [h]: 3.33
  f110 in 20-D, instance 3: FEs=200002, fbest-ftarget=4.8323e+04, elapsed time [h]: 3.37
  f110 in 20-D, instance 4: FEs=200001, fbest-ftarget=1.1345e+05, elapsed time [h]: 3.42
  f110 in 20-D, instance 5: FEs=200004, fbest-ftarget=7.8019e+04, elapsed time [h]: 3.46
  f110 in 20-D, instance 6: FEs=200002, fbest-ftarget=9.8187e+04, elapsed time [h]: 3.50
  f110 in 20-D, instance 7: FEs=200001, fbest-ftarget=1.8082e+04, elapsed time [h]: 3.54
  f110 in 20-D, instance 8: FEs=200003, fbest-ftarget=6.3835e+04, elapsed time [h]: 3.59
  f110 in 20-D, instance 9: FEs=200003, fbest-ftarget=7.8866e+04, elapsed time [h]: 3.63
  f110 in 20-D, instance 10: FEs=200002, fbest-ftarget=1.1890e+05, elapsed time [h]: 3.68
  f110 in 20-D, instance 11: FEs=200003, fbest-ftarget=5.0660e+04, elapsed time [h]: 3.72
  f110 in 20-D, instance 12: FEs=200001, fbest-ftarget=5.1590e+04, elapsed time [h]: 3.76
  f110 in 20-D, instance 13: FEs=200001, fbest-ftarget=4.3911e+04, elapsed time [h]: 3.81
  f110 in 20-D, instance 14: FEs=200001, fbest-ftarget=6.1067e+04, elapsed time [h]: 3.85
  f110 in 20-D, instance 15: FEs=200001, fbest-ftarget=4.7275e+04, elapsed time [h]: 3.89
      date and time: 2010    3   20    0    2   11
  f111 in 20-D, instance 1: FEs=200004, fbest-ftarget=6.5875e+04, elapsed time [h]: 3.93
  f111 in 20-D, instance 2: FEs=200004, fbest-ftarget=5.6386e+04, elapsed time [h]: 3.98
  f111 in 20-D, instance 3: FEs=200002, fbest-ftarget=1.1078e+05, elapsed time [h]: 4.02
  f111 in 20-D, instance 4: FEs=200001, fbest-ftarget=6.4747e+04, elapsed time [h]: 4.06
  f111 in 20-D, instance 5: FEs=200003, fbest-ftarget=6.0367e+04, elapsed time [h]: 4.11
  f111 in 20-D, instance 6: FEs=200003, fbest-ftarget=1.0799e+05, elapsed time [h]: 4.15
  f111 in 20-D, instance 7: FEs=200003, fbest-ftarget=6.5008e+04, elapsed time [h]: 4.21
  f111 in 20-D, instance 8: FEs=200002, fbest-ftarget=8.6636e+04, elapsed time [h]: 4.30
  f111 in 20-D, instance 9: FEs=200001, fbest-ftarget=6.9998e+04, elapsed time [h]: 4.38
